#class tools::histo::h1d
#title Edep (MeV/mm) along absorber 
#dimension 1
#axis fixed 4000 0 400
#annotation axis_x.title  [mm]
#bin_number 4002
entries,Sw,Sw2,Sxw0,Sx2w0
2,1.01268e-26,6.91789e-53,-2.8233e-25,9.82819e-24
10044,0.387637,2.12365e-05,0.0194984,0.00131111
10038,0.38723,2.1533e-05,0.0579032,0.00898303
10063,0.393781,2.3137e-05,0.0982436,0.0248395
10109,0.391485,2.29074e-05,0.136873,0.0481767
10150,0.397144,2.39243e-05,0.178753,0.0807853
10144,0.39488,2.33036e-05,0.217205,0.119805
10140,0.398356,2.36774e-05,0.258938,0.168646
10196,0.394999,2.29251e-05,0.296278,0.222559
10195,0.399187,2.38604e-05,0.339386,0.288876
10259,0.399181,2.27595e-05,0.379343,0.360823
10253,0.398173,2.32058e-05,0.418315,0.439803
10262,0.400265,2.3001e-05,0.460333,0.529758
10290,0.40198,2.41508e-05,0.502281,0.627947
10308,0.404048,2.43667e-05,0.545389,0.736513
10307,0.397709,2.26418e-05,0.576496,0.835985
10329,0.400051,2.32147e-05,0.620166,0.961726
10298,0.401892,2.40073e-05,0.663413,1.09545
10347,0.400686,2.29603e-05,0.701173,1.22733
10330,0.398924,2.2168e-05,0.738058,1.36584
10314,0.398257,2.28754e-05,0.776585,1.51464
10298,0.400695,2.31602e-05,0.821441,1.68432
10311,0.399171,2.28156e-05,0.85805,1.84478
10348,0.402972,2.35443e-05,0.906726,2.04056
10283,0.396759,2.21358e-05,0.932417,2.19159
10282,0.400195,2.3615e-05,0.980546,2.40283
10259,0.394946,2.21503e-05,1.00706,2.5682
10325,0.401648,2.36283e-05,1.06433,2.82072
10314,0.402186,2.35178e-05,1.10586,3.04103
10335,0.395326,2.20508e-05,1.12671,3.21155
10309,0.402798,2.3811e-05,1.18802,3.50429
10286,0.398547,2.29041e-05,1.21547,3.7072
10320,0.399355,2.27876e-05,1.25806,3.96353
10303,0.39908,2.28714e-05,1.29711,4.21624
10317,0.401183,2.34558e-05,1.34405,4.50322
