#class tools::histo::h1d
#title Edep (MeV/mm) along absorber zoomed
#dimension 1
#axis fixed 100 70 80
#annotation axis_x.title  [mm]
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
7198462,290.393,0.017202,10301.3,483987
10318,0.437238,2.70821e-05,30.6287,2145.55
10215,0.432343,2.63577e-05,30.3287,2127.55
10276,0.431723,2.54648e-05,30.3287,2130.6
10181,0.42234,2.41172e-05,29.7115,2090.2
10209,0.431311,2.61657e-05,30.3859,2140.68
10277,0.430332,2.53266e-05,30.3599,2141.89
10172,0.432425,2.67621e-05,30.5508,2158.42
10225,0.434051,2.74659e-05,30.7092,2172.68
10237,0.432142,2.56055e-05,30.6173,2169.23
10351,0.438217,2.71747e-05,31.0918,2205.98
10181,0.432191,2.68e-05,30.7072,2181.75
10311,0.441315,2.79868e-05,31.3995,2234.07
10254,0.426022,2.52996e-05,30.3541,2162.74
10285,0.430915,2.56801e-05,30.7456,2193.69
10242,0.439863,2.84849e-05,31.4282,2245.55
10171,0.429385,2.5939e-05,30.7224,2198.18
10243,0.433068,2.64083e-05,31.0292,2223.24
10280,0.428886,2.44136e-05,30.7726,2207.94
10157,0.428661,2.55484e-05,30.7996,2212.97
10316,0.434324,2.59496e-05,31.2494,2248.38
10229,0.432673,2.66578e-05,31.1742,2246.12
10270,0.433547,2.65769e-05,31.2804,2256.88
10159,0.434614,2.72768e-05,31.4009,2268.72
10238,0.441105,2.80126e-05,31.9142,2309.01
10208,0.433753,2.66128e-05,31.4254,2276.77
10328,0.434682,2.59531e-05,31.536,2287.93
10163,0.429901,2.55019e-05,31.2327,2269.09
10224,0.434543,2.63889e-05,31.613,2299.85
10269,0.434745,2.6391e-05,31.6712,2307.26
10164,0.433151,2.74608e-05,31.5985,2305.12
10208,0.430597,2.55371e-05,31.4554,2297.83
10235,0.434381,2.65316e-05,31.7749,2324.33
10305,0.435576,2.61381e-05,31.9058,2337.09
10221,0.435915,2.72783e-05,31.9743,2345.31
10354,0.435367,2.57935e-05,31.9776,2348.75
10208,0.432178,2.6723e-05,31.7869,2337.94
10229,0.435895,2.72885e-05,32.1038,2364.46
10271,0.432333,2.60805e-05,31.8846,2351.49
10229,0.426899,2.54165e-05,31.5264,2328.22
10307,0.438801,2.70761e-05,32.4492,2399.62
10240,0.434563,2.70362e-05,32.1796,2382.92
10180,0.430604,2.60019e-05,31.9294,2367.57
10233,0.433011,2.64362e-05,32.1509,2387.19
10209,0.433604,2.64886e-05,32.2387,2396.96
10319,0.440427,2.72081e-05,32.7898,2441.2
10169,0.427713,2.54321e-05,31.8861,2377.12
10215,0.428232,2.52068e-05,31.9676,2386.38
10223,0.439365,2.72293e-05,32.8423,2454.95
10335,0.432797,2.51644e-05,32.3947,2424.73
10213,0.432665,2.61215e-05,32.4281,2430.48
10257,0.442639,2.834e-05,33.2199,2493.14
10191,0.433918,2.65127e-05,32.6091,2450.58
10249,0.441353,2.85355e-05,33.2118,2499.19
10202,0.436836,2.69513e-05,32.9156,2480.19
10289,0.436514,2.63479e-05,32.9351,2484.95
10214,0.435637,2.69196e-05,32.9124,2486.54
10244,0.440258,2.84361e-05,33.3056,2519.58
10239,0.437273,2.70402e-05,33.1234,2509.1
10186,0.437533,2.74391e-05,33.187,2517.24
10274,0.436097,2.63012e-05,33.1216,2515.59
10217,0.436278,2.67794e-05,33.1788,2523.24
10210,0.432993,2.72536e-05,32.9725,2510.85
10179,0.434251,2.66107e-05,33.1115,2524.74
10389,0.447158,2.85494e-05,34.1405,2606.63
10209,0.440019,2.82055e-05,33.6393,2571.72
10252,0.438292,2.72519e-05,33.5515,2568.38
10241,0.43561,2.65524e-05,33.3894,2559.29
10188,0.433351,2.63611e-05,33.2598,2552.7
10311,0.439064,2.71479e-05,33.7422,2593.09
10160,0.43587,2.75854e-05,33.5402,2580.92
10201,0.43537,2.63313e-05,33.5453,2584.67
10244,0.440467,2.78685e-05,33.9822,2621.74
10175,0.434786,2.70909e-05,33.5871,2594.6
10257,0.435057,2.6131e-05,33.6516,2602.94
10095,0.43028,2.62499e-05,33.3253,2581.06
10340,0.446215,2.84747e-05,34.6042,2683.58
10120,0.430879,2.65899e-05,33.458,2598.04
10293,0.44138,2.73492e-05,34.3173,2668.17
10179,0.430874,2.60519e-05,33.5436,2611.38
10278,0.436333,2.61418e-05,34.0121,2651.24
10215,0.43373,2.58988e-05,33.8525,2642.19
10266,0.442873,2.91635e-05,34.6106,2704.82
10194,0.435292,2.69939e-05,34.0615,2665.3
10267,0.442376,2.83189e-05,34.6602,2715.63
10263,0.440571,2.73956e-05,34.5628,2711.46
10259,0.4386,2.68097e-05,34.4524,2706.26
10239,0.43777,2.75809e-05,34.4307,2707.98
10283,0.442895,2.86848e-05,34.8784,2746.72
10176,0.432098,2.55749e-05,34.071,2686.51
10202,0.438921,2.7289e-05,34.6527,2735.82
10225,0.441172,2.84094e-05,34.8746,2756.83
10300,0.439738,2.70687e-05,34.8054,2754.86
10206,0.437597,2.68786e-05,34.6797,2748.37
10168,0.437501,2.78316e-05,34.7155,2754.66
10222,0.443896,2.87472e-05,35.2674,2801.99
10139,0.434068,2.68963e-05,34.5299,2746.84
10253,0.441145,2.78437e-05,35.1372,2798.67
10257,0.436281,2.59924e-05,34.7936,2774.8
10229,0.440186,2.76069e-05,35.1489,2806.65
10181,0.438414,2.76259e-05,35.0511,2802.33
27741412,2065.62,0.313249,527087,1.4879e+08
